"","genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2032","AT2G46520",1303.92434660352,0.591499712240518,0.123347419904095,4.79539590451442,1.62353861504865e-06,2.10602052758496e-05
"2033","AT5G17520",1229.74817823258,0.591095407406816,0.106554488721211,5.54735341983912,2.90026122687968e-08,5.71538279060401e-07
"2034","AT3G50760",610.153549326239,0.590986156141291,0.188539419203939,3.13454957396488,0.00172118168901248,0.0083975190664468
"2035","AT4G15770",615.435735170666,0.590827076663802,0.189675639344766,3.11493388768748,0.00183986142264563,0.00886224480289752
"2036","AT1G13190",1705.91512798042,0.587753189719393,0.137439286341814,4.27645693864882,1.8989126661804e-05,0.000179940197009813
"2037","AT3G58790",369.983536374918,0.58735079931776,0.141559035975114,4.14915794863859,3.33700509270576e-05,0.000291590091055247
"2038","AT2G34260",248.333183607665,0.586849125338281,0.183143038138619,3.20432123056788,0.00135381335340818,0.00688592161732424
"2039","AT3G48000",12068.8142182635,0.586440803253992,0.123017123694735,4.76714774041729,1.86852294368219e-06,2.37906995647005e-05
"2040","AT1G62300",115.014031501609,0.586117722070316,0.157099429840111,3.73087109652047,0.000190818844174814,0.0013147104443102
"2041","AT5G16290",1703.60588772452,0.585486311607058,0.112363340946493,5.2106523949467,1.88177734032344e-07,3.02905449297225e-06
"2042","AT1G29320",394.586232994751,0.584047165556372,0.100669687997428,5.80161891006648,6.56776956569251e-09,1.44768702654311e-07
"2043","AT5G10410",360.86496358299,0.583924855628711,0.147049122869176,3.97095096002855,7.15863150473432e-05,0.000566626340467546
"2044","AT5G38890",243.307506588078,0.583893275239496,0.147800704847168,3.95054459207934,7.79735680268124e-05,0.000609774621851561
"2045","AT3G54850",431.664243808703,0.583495098093187,0.131827336862378,4.42620712805821,9.59044405839279e-06,9.94362000448657e-05
"2046","AT2G43330",1201.44022265244,0.583439887962589,0.125858035380296,4.63569835807185,3.55734405588641e-06,4.14046601204487e-05
"2047","AT3G14130",293.723486603631,0.582841944405945,0.11974833442761,4.86722380893141,1.13176835943331e-06,1.53696371359522e-05
"2048","AT5G66080",371.191769249962,0.582495481194497,0.180273049515566,3.23118448797417,0.00123278342218529,0.00639797955311164
"2049","AT1G15480",199.705330923002,0.582216474501394,0.133702947429185,4.35455227948331,1.33339157224839e-05,0.000132621003154968
"2050","AT5G64280",1498.76034532321,0.581805331936549,0.147579825679731,3.94230938583128,8.07007818993456e-05,0.000629213908871461
"2051","AT5G14710",291.766336302836,0.581710794664981,0.126774567185717,4.58854490753504,4.46346296050754e-06,5.06687303062843e-05
"2052","AT5G03030",471.411801926646,0.580786058077457,0.105273828547729,5.51690829610269,3.45015348175454e-08,6.68730988492473e-07
"2053","AT1G59990",1289.4214392471,0.579875462738184,0.0939361480655604,6.17308112669762,6.69718247299617e-10,1.79918694775692e-08
"2054","AT3G48390",150.050948645911,0.579724782974688,0.150565680467554,3.8503115794679,0.000117967654745749,0.000871674671314443
"2055","AT5G50370",592.819115721441,0.578579727902367,0.105706803065699,5.47343890007506,4.41385111488765e-08,8.32138667182154e-07
"2056","AT5G49110",89.431350291376,0.578241401446946,0.178197498578148,3.24494679252391,0.0011747257111965,0.00614288564207168
"2057","AT1G78922",141.729391988775,0.577367406007161,0.164035099605634,3.51977965322813,0.000431905451211967,0.00263035018106317
"2058","AT4G32030",753.929762828866,0.576664669539435,0.148583401891974,3.88108403897424,0.000103991895583617,0.00078522921027771
"2059","AT1G77920",446.053805033364,0.576433673975192,0.161234665334699,3.57512246376176,0.000350063997562518,0.00220581701634437
"2060","AT5G25120",1315.29800825607,0.575605394025188,0.171861463246922,3.34924062178026,0.000810333880677992,0.00448542848797285
"2061","AT1G67300",1894.37203289872,0.575472604423082,0.0616454823500561,9.33519509434998,1.00805429611303e-20,1.01033749601448e-18
"2062","AT4G39780",306.080981437365,0.575337046559731,0.168968204867268,3.40500182866762,0.000661636107381364,0.00377092384603041
"2063","AT1G66240",2756.91515166797,0.575026507464477,0.120283371846725,4.7805985036504,1.74774097382956e-06,2.24355605140803e-05
"2064","AT1G09850",947.90669205381,0.574980817589341,0.0995738351606753,5.77441670958576,7.7220115268349e-09,1.68783165273867e-07
"2065","AT2G19385",247.720476569691,0.57462828362968,0.164447810920763,3.49428964978169,0.000475325015415439,0.0028518284948934
"2066","AT1G07220",354.997659074913,0.574529369239255,0.110118070314502,5.21739408980175,1.81457916746959e-07,2.93498794583891e-06
